id,station,x,y
0,Alkmaar,52.63777924,4.739722252
1,Almelo,52.35805511,6.653888702
2,Almere Centrum,52.37503,5.21764
3,Alphen a/d Rijn,52.12444305,4.657777786
4,Amersfoort,52.1538887,5.370555401
5,Amsterdam Amstel,52.34666824,4.917778015
6,Amsterdam Centraal,52.37888718,4.900277615
7,Amsterdam Sloterdijk,52.38888931,4.837777615
8,Amsterdam Zuid,52.338889,4.872356
9,Apeldoorn,52.20916748,5.970277786
10,Arnhem Centraal,51.98500061,5.899166584
11,Assen,52.99166489,6.570833206
12,Beverwijk,52.47833252,4.656666756
13,Breda,51.59555435,4.78000021
14,Castricum,52.54583359,4.658611298
15,Delft,52.00666809,4.356389046
16,Den Haag Centraal,52.08027649,4.324999809
17,Den Haag HS,52.06972122,4.322500229
18,Den Haag Laan v NOI,52.07860947,4.342777729
19,Den Helder,52.95527649,4.761111259
20,Deventer,52.25749969,6.160555363
21,Dieren,52.04499817,6.103055477
22,Dordrecht,51.80722046,4.66833353
23,Ede-Wageningen,52.02777863,5.673055649
24,Eindhoven,51.44333267,5.481389046
25,Enschede,52.22249985,6.889999866
26,Etten-Leur,51.57500076,4.635833263
27,Gouda,52.01750183,4.704444408
28,Groningen,53.21055603,6.564722061
29,Haarlem,52.38777924,4.638333321
30,Heemstede-Aerdenhout,52.35916519,4.606666565
31,Heerenveen,52.96138763,5.914166451
32,Heerlen,50.89083481,5.974999905
33,Helmond,51.47555542,5.661944389
34,Hengelo,52.26166534,6.793889046
35,Hilversum,52.22583389,5.18194437
36,Hoorn,52.64472198,5.055555344
37,Leeuwarden,53.19583511,5.792222023
38,Leiden Centraal,52.16611099,4.481666565
39,Lelystad Centrum,52.50777817,5.472777843
40,Maastricht,50.85027695,5.705555439
41,Nijmegen,51.84361267,5.852222443
42,Oss,51.76555634,5.532222271
43,Roermond,51.1930542,5.994166851
44,Roosendaal,51.54027939,4.458333492
45,Rotterdam Alexander,51.95194626,4.553611279
46,Rotterdam Blaak,51.92027664,4.488888741
47,Rotterdam Centraal,51.92499924,4.46888876
48,Schiedam Centrum,51.92124381,4.408993721
49,Schiphol Airport,52.30944443,4.761944294
50,Sittard,51.00166702,5.858611107
51,Steenwijk,52.79151099,6.114555763
52,Tilburg,51.5605545,5.083611012
53,Utrecht Centraal,52.08889008,5.110277653
54,Venlo,51.36360931,6.172777653
55,Vlissingen,51.44583511,3.595277786
56,Weert,51.24861145,5.703610897
57,Zaandam,52.43888855,4.813611031
58,Zutphen,52.14527893,6.19416666
59,Zwolle,52.5047226,6.091944218
60,s-Hertogenbosch,51.69048,5.29362
